x,y,z,q
3934,2449,263,80
3944,2458,285,83
3922,2459,269,80
3926,2454,260,80
3925,2453,251,80
3937,2438,243,80
3941,2456,278,83
3945,2460,301,83
3943,2461,299,81
3930,2449,288,80
3928,2437,270,80
3926,2435,255,80
3934,2429,268,82
3936,2424,250,79
3935,2423,260,81
3938,2449,268,82
3938,2459,273,81
3937,2457,267,80
3938,2451,307,84
3939,2454,303,81
3943,2462,317,83
3941,2460,315,82
3938,2397,211,72
3936,2417,225,81
3943,2434,284,85
3928,2437,266,80
3941,2447,287,83
3942,2454,306,83
3942,2443,314,84
3953,2448,327,83
3954,2450,318,81
3959,2461,332,83
3965,2466,364,85
3966,2473,361,83
3961,2478,343,81
3961,2466,319,80
3953,2467,328,83
3959,2474,337,83
3952,2456,301,79
3946,2442,272,79
3947,2439,272,81
3952,2447,304,84
3954,2451,323,83
3960,2456,312,81
3945,2457,294,80
3950,2466,302,82
3951,2472,294,81
3954,2462,300,82
3963,2459,297,81
3955,2453,257,78
3951,2453,276,82
3962,2462,309,84
3943,2439,287,80
3936,2440,271,80
3941,2452,283,82
3941,2445,293,82
3947,2449,294,82
3948,2460,310,83
3946,2464,344,85
3947,2458,307,79
3933,2441,276,79
3930,2444,284,82
3927,2438,246,78
3932,2451,253,81
3942,2459,261,81
3930,2437,253,80
3943,2457,295,84
3942,2450,276,80
3949,2455,279,81
3945,2450,253,79
3955,2458,285,83
3942,2441,271,80
3926,2446,269,81
3905,2439,264,80
3919,2442,295,83
3931,2439,287,81
3928,2436,296,82
3926,2425,267,79
3917,2430,236,78
3910,2438,233,80
3924,2451,263,83
3927,2443,250,80
3917,2460,264,82
3914,2456,264,81
3924,2458,272,82
3920,2456,259,80
3921,2455,276,82
3923,2448,295,83
3928,2447,291,81
3930,2455,301,82
3926,2444,272,79
3934,2462,297,83
3938,2466,299,82
3942,2458,292,81
3931,2450,302,82
3938,2448,289,81
3933,2443,284,81
3933,2450,298,82
3936,2445,299,82
3946,2461,311,83
3931,2448,289,80
3947,2449,307,83
3947,2453,299,81
3951,2445,302,82
3955,2451,293,81
3947,2454,282,81
3942,2459,286,82
3946,2461,307,83
3949,2460,307,82
3950,2449,295,81
3944,2447,274,80
3947,2455,283,82
3947,2444,289,82
3958,2443,311,83
3955,2451,306,81
3958,2457,347,85
3955,2454,358,83
3949,2450,312,79
3961,2455,332,83
3967,2466,350,84
3956,2471,332,81
3963,2462,337,83
3951,2459,336,82
3933,2453,277,77
3931,2446,275,81
3930,2456,301,83
3925,2464,277,80
3930,2467,296,83
3932,2477,347,85
3948,2472,336,82
3950,2465,309,80
3947,2461,294,80
3929,2445,267,79
3937,2440,253,80
3944,2457,269,82
3941,2460,278,82
3938,2452,279,81
3930,2443,254,79
3930,2429,261,81
3941,2447,279,82
3946,2434,276,81
3940,2419,269,80
3938,2429,279,82
3927,2423,261,80
3922,2429,253,80
3916,2423,251,80
3911,2419,250,80
3920,2436,252,81
3922,2428,259,81
3933,2435,287,83
3924,2445,304,83
3928,2452,293,81
3933,2447,283,81
3933,2435,278,81
3935,2420,282,81
3927,2414,269,80
3931,2430,290,83
3928,2444,294,82
3934,2442,285,81
3936,2438,266,80
3936,2446,268,81
3942,2446,313,85
3946,2446,322,83
3949,2455,320,82
3951,2451,311,81
3951,2443,290,80
3956,2449,320,84
3946,2387,217,72
3924,2407,186,77
3931,2442,218,82
3937,2438,220,80
3932,2436,223,80
3932,2447,234,81
3933,2446,263,83
3929,2445,268,81
3945,2461,300,84
3945,2460,287,80
3945,2449,283,81
3959,2450,280,81
3954,2443,284,81
3936,2441,278,81
3922,2447,248,79
